book_score	book_name	author	comment
9.6	红楼梦	[清] 曹雪芹 著 	谁解其中味？
9.5	灌篮高手31	[日] 井上雄彦 	全剧终
9.5	机器猫哆啦A梦23	藤子?F?不二雄 	满满的回忆
9.5	海贼王	尾田荣一郎 	热血，梦想，希望
9.3	三体Ⅱ	刘慈欣 	无边的黑暗森林，比第一部更为恢弘壮丽
9.3	飘	[美国] 玛格丽特·米切尔 	革命时期的爱情，随风而逝
9.3	活着	余华 	生的苦难与伟大
9.3	一九八四·动物农场	[英] 乔治·奥威尔 	一个预言和一个寓言，令人窒息的政治恐怖
9.3	1984	[英] 乔治·奥威尔 	栗树荫下，我出卖你，你出卖我
9.3	撒哈拉的故事	三毛 	不枉来这世上走一遭
9.2	百年孤独	[哥伦比亚] 加西亚·马尔克斯 	尼采所谓的永劫复归，一场无始无终的梦魇
9.2	白夜行	东野圭吾 	封面剧透
9.2	三体Ⅲ	刘慈欣 	终章，何去何从
9.2	三国演义（全二册）	[明] 罗贯中 	是非成败转头空
9.2	福尔摩斯探案全集（上中下）	[英] 阿·柯南道尔 	侦探小说鼻祖
9.2	撒哈拉的故事	三毛 	游荡的自由灵魂
9.2	安徒生童话故事集	（丹麦）安徒生 	远不是童话那么简单
9.2	动物农场	[英] 乔治·奥威尔 	太阳底下并无新事
9.1	活着	余华 	活着本身就是人生最大的意义
9.1	白夜行	[日] 东野圭吾 	暗夜独行的残破灵魂，爱与恶本就难分难舍
9.1	天龙八部	金庸 	“有情皆孽，无人不冤”
9.1	沉默的大多数	王小波 	沉默是沉默者的通行证
9.1	肖申克的救赎	[美] 斯蒂芬·金 	希望让人自由，电影实在太有名
9.1	明朝那些事儿（1-9）	当年明月 	不拘一格的历史书写
9.1	人类简史	[以色列]尤瓦尔·赫拉利 	
9	小王子	[法] 圣埃克苏佩里 	献给长成了大人的孩子们
9	平凡的世界（全三部）	路遥 	中国当代城乡生活全景
9	哈利·波特与魔法石	[英] J. K. 罗琳 	羽加迪姆勒维奥萨！
9	哈利·波特与火焰杯	[英] J. K. 罗琳 	整个系列的分水岭，暗色渐浓
9	月亮和六便士	[英] 毛姆 	有多少人会经历顿悟，就有更少的人甘愿自我放逐
9	撒哈拉的故事	三毛 	关于漂泊的一切
9	霍乱时期的爱情	[哥伦比亚] 加西亚·马尔克斯 	义无反顾地直达爱情的核心
9	基督山伯爵	大仲马 	完美的复仇，金庸用法语写作应该就是这样
9	笑傲江湖（全四册）	金庸 	武侠的壳，政治斗争的核
9	东方快车谋杀案	[英] 阿加莎·克里斯蒂 	谋杀诡计惊人，波洛的抉择耐人寻味
9	嫌疑人X的献身	（日）东野圭吾 	东野说，这是最纯粹的爱情
9	寻路中国	[美] 彼得·海斯勒 	中国在路上，非虚构写作所能达到的高度
9	历史深处的忧虑	林达 	窥见美国社会的一扇窗
9	嫌疑人X的献身	东野圭吾 	
9	局外人	[法] 阿尔贝·加缪 	
9	刀锋	[英]毛姆 	
9	傲慢与偏见	[英] 奥斯丁 	百般曲折，终成眷属
9	阿狸·梦之城堡	hans 	治愈
8.9	追风筝的人	[美] 卡勒德·胡赛尼 	为你，千千万万遍
