sale_volume,price,shop,comment,title
2529笔,139.00,"
彩卡丝旗舰店
",2.0万,床上四件套公主风纯棉全棉1.8m床双人床单三件套床上用品宿舍1.5
159笔,110.00,"
罗瑞欧家居旗舰店
",1286,罗瑞欧宾馆床上用品酒店3三四件套40支全棉纯白色旅馆被套床单枕
152笔,428.00,"
美觉旗舰店
",103,美觉双面天丝床上四件套夏季简约被套件纯色床单双人1.8m床上用品
333笔,105.00,"
谷蝶旗舰店
",998,谷蝶 纯棉双人被套全棉四件套 1.5m1.8米床单简约条格床品套件
316笔,138.00,"
靓妆家纺旗舰店
",327,全棉卡通三/四件套男孩恐龙学生宿舍儿童床上用品单人被套床笠
258笔,163.00,"
金美凯旗舰店
",515,五星级酒店四件套全棉纯色简约宾馆床上用品床单被套枕套60支贡缎
2506笔,109.00,"
晴美家纺旗舰店
",7.2万,纯棉四件套全棉床品1.8m床上用品宿舍被套床单三件套1.5米双人
47笔,329.00,"
梦洁旗舰店
",1322,梦洁家纺纯棉四件套全棉套件床单被套双人床1.8m被罩夏日甜馨
223笔,1380.00,"
安敏诺旗舰店
",1024,安敏诺防螨虫床上用品四件套全套纯白色被套多件套儿童防尘螨床品
268笔,165.00,"
唐裔灏漫专卖店
",139,春夏全棉四件套纯棉网红四件套三件套菠萝单双人床单被套床上用品
151笔,242.00,"
蜜家旗舰店
",18,北欧简约天竺棉针织棉纯棉春夏裸睡被套水洗棉床单床笠全棉四件套
692笔,179.00,"
圣夫岛旗舰店
",1439,圣夫岛全棉四件套纯棉床品1.8m床上用品宿舍被套床单三件套1.5米
222笔,137.00,"
久洲兔旗舰店
",424,北欧小清新ins全棉纯棉床上用品四件套公主风被套床笠床单三4件套
773笔,128.00,"
挚缘纺家纺旗舰店
",6006,挚缘纺纯棉床上四件套全棉床单款卡通1.5/1.8米床简约被套宿舍1.2
181笔,198.00,"
红丝盾旗舰店
",211,床上用品纯棉四件套全棉被套被单被罩床单简约中式2.0m1.8m床双人
271笔,198.00,"
御翔旗舰店
",915,床上四件套全棉纯棉公主风床单被套被罩1.5/1.8m床2.0米床品套件
86笔,356.00,"
凡客家居专营店
",1034,四件套全棉60被套床上纯棉床笠婚庆床单套件1.8m贡缎长绒棉定制
67笔,359.00,"
皮尔卡丹有侑专卖店
",91,60支长绒棉四件套全棉纯棉1.8m床上用品1.5米简约北欧式4床单被套
130笔,359.00,"
百思寒羽绒床品旗舰店
",186,百思寒贡缎床上四件套全棉纯棉1.8m被套简约纯色床单三件套1.5米
144笔,178.00,"
舒翔家纺专营店
",1411,迪士尼卡通四件套女孩被套儿童床上用品公主风粉色床单磨毛三件套
96笔,258.00,"
然轩家纺旗舰店
",133,婚庆四件套大红色贡缎被套结婚刺绣全棉六十件套床上用品1.8m床单
180笔,148.00,"
北极绒雯月专卖店
",52,北极绒床上用品四件套全棉纯棉被套床单ins公主风1.5米三件套1.8m
90笔,159.00,"
南极人维米专卖店
",455,南极人家纺全棉四件套1.5床单1.8m被套纯棉卡通床上用品4件套床品
